date,uah,usdt
2024-08-21,41.52,1.024
2024-08-22,41.43,1.025
2024-08-23,41.55,1.027
2024-08-24,41.55,1.026
2024-08-25,41.55,1.025
2024-08-26,41.47,1.026
2024-08-27,41.5,1.025
2024-08-28,41.5,1.026
2024-08-29,41.44,1.026
2024-08-30,41.44,1.025
2024-08-31,41.37,1.024
2024-09-01,41.37,1.024
2024-09-02,41.4,1.024
2024-09-03,41.53,1.023
2024-09-04,41.48,1.024
2024-09-05,41.38,1.024
2024-09-06,41.35,1.023
2024-09-07,41.35,1.023
2024-09-08,41.38,1.022
2024-09-09,41.38,1.022
2024-09-10,41.4,1.021
2024-09-11,41.47,1.022
2024-09-12,41.47,1.022
2024-09-13,41.52,1.023
2024-09-14,41.52,1.022
2024-09-15,41.6,1.023
2024-09-16,41.77,1.023
2024-09-17,41.8,1.024
2024-09-18,41.78,1.024
2024-09-19,41.74,1.024
2024-09-20,41.72,1.023
2024-09-21,41.72,1.023
2024-09-22,41.74,1.023
2024-09-23,41.74,1.023
2024-09-24,41.65,1.023
2024-09-25,41.52,1.022
2024-09-26,41.47,1.023
2024-09-27,41.52,1.023
2024-09-28,41.53,1.022
2024-09-29,41.56,1.023
2024-09-30,41.5,1.022
2024-10-01,41.48,1.022
2024-10-02,41.5,1.02
2024-10-03,41.45,1.02
2024-10-04,41.47,1.02
2024-10-05,41.45,1.02
2024-10-06,41.47,1.021
2024-10-07,41.45,1.02
2024-10-08,41.44,1.02
2024-10-09,41.43,1.019
2024-10-10,41.43,1.02
2024-10-11,41.45,1.019
2024-10-12,41.44,1.019
2024-10-13,41.45,1.019
2024-10-14,41.45,1.02
2024-10-15,41.48,1.021
2024-10-16,41.48,1.021
2024-10-17,41.45,1.021
2024-10-18,41.47,1.022
2024-10-19,41.5,1.021
2024-10-20,41.5,1.022
2024-10-21,41.55,1.021
2024-10-22,41.53,1.021
2024-10-23,41.52,1.021
2024-10-24,41.52,1.022
2024-10-25,41.55,1.023
2024-10-26,41.55,1.023
2024-10-27,41.52,1.023
2024-10-28,41.6,1.022
2024-10-29,41.55,1.022
2024-10-30,41.5,1.022
2024-10-31,41.49,1.023
2024-11-01,41.55,1.022
2024-11-02,41.55,1.02
2024-11-03,41.55,1.021
2024-11-04,41.62,1.02
2024-11-05,41.65,1.021
2024-11-06,41.58,1.021
2024-11-07,41.56,1.021
2024-11-08,41.57,1.02
2024-11-09,41.6,1.019
2024-11-10,41.58,1.019
2024-11-11,41.7,1.019
2024-11-12,41.75,1.02
2024-11-13,41.68,1.021
2024-11-14,41.58,1.022
2024-11-15,41.63,1.022
2024-11-16,41.65,1.022
2024-11-17,41.67,1.023
2024-11-18,41.67,1.023
2024-11-19,41.63,1.023
2024-11-20,41.65,1.024
2024-11-21,41.63,1.024
